,Name,Population,state,county,tract,median_income
89,"Census Tract 154.04, Davidson County, Tennessee",2810,47,037,015404,47930
90,"Census Tract 154.05, Davidson County, Tennessee",4545,47,037,015405,62014
91,"Census Tract 155.01, Davidson County, Tennessee",3151,47,037,015501,57813
92,"Census Tract 155.02, Davidson County, Tennessee",4028,47,037,015502,46953
93,"Census Tract 156.09, Davidson County, Tennessee",4182,47,037,015609,59877
94,"Census Tract 156.13, Davidson County, Tennessee",5095,47,037,015613,38214
95,"Census Tract 156.14, Davidson County, Tennessee",3987,47,037,015614,60670
96,"Census Tract 156.15, Davidson County, Tennessee",5899,47,037,015615,46786
97,"Census Tract 156.17, Davidson County, Tennessee",2610,47,037,015617,82440
98,"Census Tract 156.18, Davidson County, Tennessee",7317,47,037,015618,53833
99,"Census Tract 156.19, Davidson County, Tennessee",5466,47,037,015619,74167
100,"Census Tract 156.20, Davidson County, Tennessee",6768,47,037,015620,52315
101,"Census Tract 156.22, Davidson County, Tennessee",3766,47,037,015622,87420
102,"Census Tract 156.23, Davidson County, Tennessee",5502,47,037,015623,46989
103,"Census Tract 156.24, Davidson County, Tennessee",4542,47,037,015624,62577
104,"Census Tract 156.25, Davidson County, Tennessee",5866,47,037,015625,59484
105,"Census Tract 156.26, Davidson County, Tennessee",7357,47,037,015626,50283
106,"Census Tract 156.27, Davidson County, Tennessee",3480,47,037,015627,60181
107,"Census Tract 156.28, Davidson County, Tennessee",4080,47,037,015628,55978
108,"Census Tract 156.29, Davidson County, Tennessee",6432,47,037,015629,52402
109,"Census Tract 156.30, Davidson County, Tennessee",4695,47,037,015630,54524
110,"Census Tract 156.32, Davidson County, Tennessee",3745,47,037,015632,45545
111,"Census Tract 156.33, Davidson County, Tennessee",4704,47,037,015633,108883
112,"Census Tract 156.34, Davidson County, Tennessee",9896,47,037,015634,77683
113,"Census Tract 156.35, Davidson County, Tennessee",3498,47,037,015635,103891
114,"Census Tract 156.36, Davidson County, Tennessee",2979,47,037,015636,73529
115,"Census Tract 156.37, Davidson County, Tennessee",3768,47,037,015637,52821
116,"Census Tract 157, Davidson County, Tennessee",1829,47,037,015700,69167
117,"Census Tract 158.04, Davidson County, Tennessee",4776,47,037,015804,45556
118,"Census Tract 158.05, Davidson County, Tennessee",3617,47,037,015805,39477
119,"Census Tract 158.06, Davidson County, Tennessee",4322,47,037,015806,37595
120,"Census Tract 148, Davidson County, Tennessee",1454,47,037,014800,13750
121,"Census Tract 159, Davidson County, Tennessee",2876,47,037,015900,17308
122,"Census Tract 160, Davidson County, Tennessee",2570,47,037,016000,21868
123,"Census Tract 161, Davidson County, Tennessee",2251,47,037,016100,54489
124,"Census Tract 162, Davidson County, Tennessee",3187,47,037,016200,26179
125,"Census Tract 163, Davidson County, Tennessee",2689,47,037,016300,54886
126,"Census Tract 164, Davidson County, Tennessee",4243,47,037,016400,51941
127,"Census Tract 165, Davidson County, Tennessee",4849,47,037,016500,58065
128,"Census Tract 166, Davidson County, Tennessee",3330,47,037,016600,51091
129,"Census Tract 167, Davidson County, Tennessee",5463,47,037,016700,114208
130,"Census Tract 168, Davidson County, Tennessee",4725,47,037,016800,85299
131,"Census Tract 169, Davidson County, Tennessee",5293,47,037,016900,99722
132,"Census Tract 170, Davidson County, Tennessee",3677,47,037,017000,90000
133,"Census Tract 171, Davidson County, Tennessee",3118,47,037,017100,79300
134,"Census Tract 172, Davidson County, Tennessee",1296,47,037,017200,61422
135,"Census Tract 173, Davidson County, Tennessee",3371,47,037,017300,35882
136,"Census Tract 174.01, Davidson County, Tennessee",2116,47,037,017401,48717
137,"Census Tract 174.02, Davidson County, Tennessee",5261,47,037,017402,47168
138,"Census Tract 175, Davidson County, Tennessee",2973,47,037,017500,43810
139,"Census Tract 177.01, Davidson County, Tennessee",2496,47,037,017701,153750
140,"Census Tract 177.02, Davidson County, Tennessee",5595,47,037,017702,115375
141,"Census Tract 178, Davidson County, Tennessee",5929,47,037,017800,96098
142,"Census Tract 179.01, Davidson County, Tennessee",5312,47,037,017901,102969
143,"Census Tract 179.02, Davidson County, Tennessee",4997,47,037,017902,110689
144,"Census Tract 180, Davidson County, Tennessee",4646,47,037,018000,103979
145,"Census Tract 181.01, Davidson County, Tennessee",4745,47,037,018101,44194
146,"Census Tract 181.02, Davidson County, Tennessee",3955,47,037,018102,97194
147,"Census Tract 182.01, Davidson County, Tennessee",3316,47,037,018201,119031
148,"Census Tract 182.03, Davidson County, Tennessee",1444,47,037,018203,180000
149,"Census Tract 182.04, Davidson County, Tennessee",3438,47,037,018204,45080
150,"Census Tract 182.05, Davidson County, Tennessee",3691,47,037,018205,77273
151,"Census Tract 183.02, Davidson County, Tennessee",2886,47,037,018302,97330
152,"Census Tract 183.03, Davidson County, Tennessee",3826,47,037,018303,60144
153,"Census Tract 183.04, Davidson County, Tennessee",4281,47,037,018304,110630
154,"Census Tract 184.04, Davidson County, Tennessee",4438,47,037,018404,77635
155,"Census Tract 184.05, Davidson County, Tennessee",4779,47,037,018405,91554
156,"Census Tract 184.07, Davidson County, Tennessee",5600,47,037,018407,107132
157,"Census Tract 184.08, Davidson County, Tennessee",3991,47,037,018408,112237
158,"Census Tract 184.09, Davidson County, Tennessee",4507,47,037,018409,82626
159,"Census Tract 184.10, Davidson County, Tennessee",3212,47,037,018410,55492
160,"Census Tract 184.11, Davidson County, Tennessee",3440,47,037,018411,56116
161,"Census Tract 184.12, Davidson County, Tennessee",4044,47,037,018412,73182
162,"Census Tract 185, Davidson County, Tennessee",4274,47,037,018500,198112
163,"Census Tract 186.01, Davidson County, Tennessee",2369,47,037,018601,199643
164,"Census Tract 186.02, Davidson County, Tennessee",4245,47,037,018602,192500
165,"Census Tract 187, Davidson County, Tennessee",3353,47,037,018700,186960
166,"Census Tract 188.01, Davidson County, Tennessee",5501,47,037,018801,96942
167,"Census Tract 188.03, Davidson County, Tennessee",3547,47,037,018803,74466
168,"Census Tract 188.04, Davidson County, Tennessee",5493,47,037,018804,115073
169,"Census Tract 189.01, Davidson County, Tennessee",3280,47,037,018901,47500
170,"Census Tract 189.02, Davidson County, Tennessee",2704,47,037,018902,75286
171,"Census Tract 189.04, Davidson County, Tennessee",3410,47,037,018904,61750
172,"Census Tract 189.05, Davidson County, Tennessee",3292,47,037,018905,65960
173,"Census Tract 190.03, Davidson County, Tennessee",4427,47,037,019003,44349
